Country,Feature,Coefficient,Percentage_Effect,Train_Adj_R2,Test_MSE
Afghanistan,"Population Density, as of 1 July (persons per square km)",-0.336990624,28.37340188,0.999596744,0.00038778
Afghanistan,"Rate of Natural Change (per 1,000 population)",0.302251049,25.44845429,0.999596744,0.00038778
Afghanistan,"Crude Death Rate (deaths per 1,000 population)",0.154651505,13.02110205,0.999596744,0.00038778
Afghanistan,"Median Age, as of 1 July (years)",-0.122877162,10.34581629,0.999596744,0.00038778
Afghanistan,Population Growth Rate (percentage),0.060260685,5.073733556,0.999596744,0.00038778
Afghanistan,Mean Age Childbearing (years),0.049413366,4.16042817,0.999596744,0.00038778
Afghanistan,"Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)",0.046261844,3.895081323,0.999596744,0.00038778
Afghanistan,"Population Sex Ratio, as of 1 July (males per 100 females)",-0.040056247,3.372592372,0.999596744,0.00038778
Afghanistan,Female Deaths ,0.026843037,2.260087419,0.999596744,0.00038778
Afghanistan,Sex Ratio at Birth (males per 100 female births),0.021317173,1.794829542,0.999596744,0.00038778
Afghanistan,Male Life Expectancy at Age 15 (years),-0.016230408,1.366542181,0.999596744,0.00038778
Afghanistan,female_years_schooling,-0.004367712,0.367745696,0.999596744,0.00038778
Afghanistan,Net Number of Migrants ,0.003492741,0.294076302,0.999596744,0.00038778
Afghanistan,employment_rate_15_24,0.002685494,0.22610894,0.999596744,0.00038778
Afghanistan,"Infant Mortality Rate (infant deaths per 1,000 live births)",0,0,0.999596744,0.00038778
Afghanistan,Female Life Expectancy at Age 15 (years),0,0,0.999596744,0.00038778
Afghanistan,DailyIncome,0,0,0.999596744,0.00038778
Afghanistan,Male Deaths ,0,0,0.999596744,0.00038778
Afghanistan,Births by women aged 15 to 19 ,0,0,0.999596744,0.00038778
Afghanistan,Population Annual Doubling Time (years),0,0,0.999596744,0.00038778
Afghanistan,EmploymentRate15,0,0,0.999596744,0.00038778
Afghanistan,"Net Migration Rate (per 1,000 population)",0,0,0.999596744,0.00038778
Angola,"Population Density, as of 1 July (persons per square km)",-0.500707278,68.35843782,0.999676362,0.000173301
Angola,"Median Age, as of 1 July (years)",0.046889616,6.401546453,0.999676362,0.000173301
Angola,Mean Age Childbearing (years),0.038277901,5.225842844,0.999676362,0.000173301
Angola,Female Life Expectancy at Age 15 (years),-0.034671467,4.733478933,0.999676362,0.000173301
Angola,"Population Sex Ratio, as of 1 July (males per 100 females)",0.023513486,3.210149415,0.999676362,0.000173301
Angola,Population Growth Rate (percentage),0.01917995,2.618518857,0.999676362,0.000173301
Angola,DailyIncome,-0.018547513,2.532176189,0.999676362,0.000173301
Angola,"Crude Death Rate (deaths per 1,000 population)",0.018501427,2.525884298,0.999676362,0.000173301
Angola,Sex Ratio at Birth (males per 100 female births),0.009250335,1.262890521,0.999676362,0.000173301
Angola,Net Number of Migrants ,-0.008184712,1.11740763,0.999676362,0.000173301
Angola,Male Deaths ,-0.007049006,0.962356737,0.999676362,0.000173301
Angola,"Rate of Natural Change (per 1,000 population)",0.005061814,0.691057834,0.999676362,0.000173301
Angola,employment_rate_15_24,0.002638753,0.360252467,0.999676362,0.000173301
Angola,Population Annual Doubling Time (years),0,0,0.999676362,0.000173301
Angola,Births by women aged 15 to 19 ,0,0,0.999676362,0.000173301
Angola,female_years_schooling,0,0,0.999676362,0.000173301
Angola,Female Deaths ,0,0,0.999676362,0.000173301
Angola,Male Life Expectancy at Age 15 (years),0,0,0.999676362,0.000173301
Angola,EmploymentRate15,0,0,0.999676362,0.000173301
Angola,"Infant Mortality Rate (infant deaths per 1,000 live births)",0,0,0.999676362,0.000173301
Angola,"Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)",0,0,0.999676362,0.000173301
Angola,"Net Migration Rate (per 1,000 population)",0,0,0.999676362,0.000173301
Albania,"Rate of Natural Change (per 1,000 population)",0.466648199,30.00657723,0.999149984,0.00029334
Albania,"Median Age, as of 1 July (years)",-0.290147416,18.65716156,0.999149984,0.00029334
Albania,"Infant Mortality Rate (infant deaths per 1,000 live births)",-0.223287123,14.3578874,0.999149984,0.00029334
Albania,"Net Migration Rate (per 1,000 population)",-0.120110341,7.723377567,0.999149984,0.00029334
Albania,"Population Density, as of 1 July (persons per square km)",-0.114806711,7.382341681,0.999149984,0.00029334
Albania,"Crude Death Rate (deaths per 1,000 population)",0.101444507,6.523120522,0.999149984,0.00029334
Albania,Population Growth Rate (percentage),0.076381354,4.911500786,0.999149984,0.00029334
Albania,"Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)",0.051117399,3.286969029,0.999149984,0.00029334
Albania,Sex Ratio at Birth (males per 100 female births),-0.025155894,1.617583197,0.999149984,0.00029334
Albania,Net Number of Migrants ,-0.021874276,1.406567397,0.999149984,0.00029334
Albania,female_years_schooling,-0.017894384,1.150651001,0.999149984,0.00029334
Albania,"Population Sex Ratio, as of 1 July (males per 100 females)",-0.013562232,0.872083415,0.999149984,0.00029334
Albania,Female Deaths ,-0.012214663,0.785431583,0.999149984,0.00029334
Albania,EmploymentRate15,-0.006332761,0.40721142,0.999149984,0.00029334
Albania,DailyIncome,0.006169062,0.396685209,0.999149984,0.00029334
Albania,employment_rate_15_24,0.003858811,0.248130613,0.999149984,0.00029334
Albania,Births by women aged 15 to 19 ,-0.002123712,0.136559692,0.999149984,0.00029334
Albania,Male Deaths ,0.001173217,0.075440601,0.999149984,0.00029334
Albania,Male Life Expectancy at Age 15 (years),-0.000850981,0.054720091,0.999149984,0.00029334
Albania,Female Life Expectancy at Age 15 (years),0,0,0.999149984,0.00029334
Albania,Population Annual Doubling Time (years),0,0,0.999149984,0.00029334
Albania,Mean Age Childbearing (years),0,0,0.999149984,0.00029334
Andorra,"Rate of Natural Change (per 1,000 population)",0.22528862,25.11757549,0.981028997,7.98659E-06
Andorra,"Median Age, as of 1 July (years)",0.164680788,18.36036867,0.981028997,7.98659E-06
Andorra,Female Deaths ,0.084802528,9.454689288,0.981028997,7.98659E-06
Andorra,"Population Density, as of 1 July (persons per square km)",-0.060406466,6.734756345,0.981028997,7.98659E-06
Andorra,Births by women aged 15 to 19 ,0.04996043,5.570120933,0.981028997,7.98659E-06
Andorra,Net Number of Migrants ,-0.041729707,4.652472307,0.981028997,7.98659E-06
Andorra,"Population Sex Ratio, as of 1 July (males per 100 females)",-0.037839878,4.21879267,0.981028997,7.98659E-06
Andorra,Female Life Expectancy at Age 15 (years),-0.034381359,3.833200141,0.981028997,7.98659E-06
Andorra,"Net Migration Rate (per 1,000 population)",0.031299576,3.489610231,0.981028997,7.98659E-06
Andorra,"Infant Mortality Rate (infant deaths per 1,000 live births)",0.031185781,3.476923133,0.981028997,7.98659E-06
Andorra,Male Deaths ,0.030327186,3.381197827,0.981028997,7.98659E-06
Andorra,Population Growth Rate (percentage),0.026363806,2.939317999,0.981028997,7.98659E-06
Andorra,Male Life Expectancy at Age 15 (years),0.016674483,1.859048972,0.981028997,7.98659E-06
Andorra,Sex Ratio at Birth (males per 100 female births),-0.01582152,1.763951573,0.981028997,7.98659E-06
Andorra,Mean Age Childbearing (years),-0.015692313,1.749546232,0.981028997,7.98659E-06
Andorra,"Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)",0.015015285,1.674063961,0.981028997,7.98659E-06
Andorra,"Crude Death Rate (deaths per 1,000 population)",-0.011315612,1.261585005,0.981028997,7.98659E-06
Andorra,DailyIncome,-0.003495241,0.389686735,0.981028997,7.98659E-06
Andorra,Population Annual Doubling Time (years),-0.000655593,0.073092485,0.981028997,7.98659E-06
Andorra,female_years_schooling,0,0,0.981028997,7.98659E-06
Andorra,employment_rate_15_24,0,0,0.981028997,7.98659E-06
Andorra,EmploymentRate15,0,0,0.981028997,7.98659E-06
UAE,DailyIncome,0,,1,0
UAE,female_years_schooling,0,,1,0
UAE,EmploymentRate15,0,,1,0
UAE,employment_rate_15_24,0,,1,0
UAE,"Population Density, as of 1 July (persons per square km)",0,,1,0
UAE,"Population Sex Ratio, as of 1 July (males per 100 females)",0,,1,0
UAE,"Median Age, as of 1 July (years)",0,,1,0
UAE,"Rate of Natural Change (per 1,000 population)",0,,1,0
UAE,Population Growth Rate (percentage),0,,1,0
UAE,Population Annual Doubling Time (years),0,,1,0
UAE,Births by women aged 15 to 19 ,0,,1,0
UAE,Mean Age Childbearing (years),0,,1,0
UAE,Sex Ratio at Birth (males per 100 female births),0,,1,0
UAE,Male Deaths ,0,,1,0
UAE,Female Deaths ,0,,1,0
UAE,"Crude Death Rate (deaths per 1,000 population)",0,,1,0
UAE,Male Life Expectancy at Age 15 (years),0,,1,0
UAE,Female Life Expectancy at Age 15 (years),0,,1,0
UAE,"Infant Mortality Rate (infant deaths per 1,000 live births)",0,,1,0
UAE,"Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)",0,,1,0
UAE,Net Number of Migrants ,0,,1,0
UAE,"Net Migration Rate (per 1,000 population)",0,,1,0
Argentina,"Rate of Natural Change (per 1,000 population)",0.187055586,51.1615832,0.996162963,0.000620469
Argentina,Population Growth Rate (percentage),0.089793727,24.55948697,0.996162963,0.000620469
Argentina,Female Life Expectancy at Age 15 (years),-0.046930345,12.83592103,0.996162963,0.000620469
Argentina,Sex Ratio at Birth (males per 100 female births),-0.012396648,3.390607982,0.996162963,0.000620469
Argentina,"Infant Mortality Rate (infant deaths per 1,000 live births)",0.01061326,2.902833204,0.996162963,0.000620469
Argentina,"Crude Death Rate (deaths per 1,000 population)",0.006085048,1.664321694,0.996162963,0.000620469
Argentina,employment_rate_15_24,0.005522543,1.510470945,0.996162963,0.000620469
Argentina,Population Annual Doubling Time (years),-0.003907006,1.068605523,0.996162963,0.000620469
Argentina,female_years_schooling,-0.003313112,0.906169459,0.996162963,0.000620469
Argentina,DailyIncome,0,0,0.996162963,0.000620469
Argentina,Female Deaths ,0,0,0.996162963,0.000620469
Argentina,Net Number of Migrants ,0,0,0.996162963,0.000620469
Argentina,"Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)",0,0,0.996162963,0.000620469
Argentina,Male Life Expectancy at Age 15 (years),0,0,0.996162963,0.000620469
Argentina,Mean Age Childbearing (years),0,0,0.996162963,0.000620469
Argentina,Male Deaths ,0,0,0.996162963,0.000620469
Argentina,Births by women aged 15 to 19 ,0,0,0.996162963,0.000620469
Argentina,"Median Age, as of 1 July (years)",0,0,0.996162963,0.000620469
Argentina,"Population Sex Ratio, as of 1 July (males per 100 females)",0,0,0.996162963,0.000620469
Argentina,"Population Density, as of 1 July (persons per square km)",0,0,0.996162963,0.000620469
Argentina,EmploymentRate15,0,0,0.996162963,0.000620469
Argentina,"Net Migration Rate (per 1,000 population)",0,0,0.996162963,0.000620469
